"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"97","umulca","fvqlRI","GCST012879","GCST90277257","Weighted median",18,-0.0514287598775358,0.0755802551292502,0.49621810294747,-0.199566059930866,0.0967085401757945,0.949871316500797,0.819086110253857,1.10153927238654
"98","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted",18,-0.0453652507083256,0.0525208484541584,0.387721391770179,-0.148306113678476,0.0575756122618248,0.955648366836834,0.862167153384201,1.05926536107661
"99","umulca","fvqlRI","GCST012879","GCST90277257","Simple mode",18,-0.141786731073676,0.143629760734171,0.337403079607806,-0.423301062112652,0.139727599965299,0.867806312872427,0.654881443439228,1.14996050690681
"100","umulca","fvqlRI","GCST012879","GCST90277257","Weighted mode",18,-0.0985229522279714,0.126703954200712,0.44750123748395,-0.346862702461367,0.149816798005425,0.90617489364284,0.706902377551774,1.16162141187376
"101","P8LXeu","eTUAa0","GCST012879","GCST90277258","MR Egger",8,0.0102299891868843,0.219514088418323,0.96434215676313,-0.420017624113029,0.440477602486797,1.01028249441617,0.657035240049681,1.55344897245783
"102","P8LXeu","eTUAa0","GCST012879","GCST90277258","Weighted median",8,0.00454055098505199,0.0929781671114769,0.961051113513596,-0.177696656553443,0.186777758523547,1.00455087490619,0.837196342998542,1.20535937443357
"103","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted",8,-0.0519458877074374,0.0710312004319469,0.46458930347099,-0.191167040554053,0.0872752651391785,0.949380238594179,0.825994602030907,1.09119700687755
"104","P8LXeu","eTUAa0","GCST012879","GCST90277258","Simple mode",8,-0.0229184243431581,0.156031788667828,0.887365195618397,-0.328740730132102,0.282903881445786,0.977342207854026,0.719829622686565,1.32697760851793
"105","P8LXeu","eTUAa0","GCST012879","GCST90277258","Weighted mode",8,0.0255996043938109,0.137510216647854,0.857595344816511,-0.243920420235984,0.295119629023606,1.02593008832601,0.783549986504862,1.34328704519234
"106","cAIiey","gmTfhF","GCST012879","GCST90277259","MR Egger",17,0.107305591659348,0.114967329964199,0.365417492168978,-0.118030375070483,0.332641558389179,1.11327440987658,0.888669058819353,1.39464730923863
"107","cAIiey","gmTfhF","GCST012879","GCST90277259","Weighted median",17,0.00233445643703431,0.0650045552615272,0.971352369819782,-0.125074471875559,0.129743384749628,1.00233718340204,0.882431183832215,1.13853618008741
